City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lebu,20,ET,1578187967,66,8.96,38.73,55.4,4.7
Hamilton,75,CA,1578187803,86,43.26,-79.87,35.6,8.05
Sherpur,52,BD,1578187967,69,25.02,90.01,66.04,2.91
Narsaq,100,GL,1578187713,73,60.91,-46.05,26.6,2.24
Armidale,0,AU,1578187967,17,-30.51,151.67,99.93,3.78
Tuktoyaktuk,20,CA,1578187968,74,69.44,-133.03,-27.4,9.17
Jiuquan,100,CN,1578187968,51,39.73,98.49,19.31,3.49
Siemiatycze,100,PL,1578187968,88,52.43,22.86,32,8.01
Cape Town,75,ZA,1578187895,82,-33.93,18.42,68,5.82
Gerash,90,IR,1578187968,93,27.67,54.14,55.4,9.17
Ribeira Grande,100,PT,1578187969,90,38.52,-28.7,60.58,17.92
Victoria,75,BN,1578187969,66,5.28,115.24,84.2,5.82
Port Elizabeth,90,US,1578187733,87,39.31,-74.98,51.01,10.29
Coahuayana,6,MX,1578187970,43,18.62,-100.35,72.07,3.29
Tirumullaivasal,56,IN,1578187970,76,11.24,79.84,80.94,9.51
Tiksi,93,RU,1578187970,86,71.64,128.87,-17.09,11.07
Nishihara,20,JP,1578187714,52,35.74,139.53,48.99,11.41
Morada Nova,100,BR,1578187971,84,-5.1,-38.37,76.12,6.13
Lata,0,IN,1578187971,44,30.78,78.62,3.85,8.72
Codrington,0,AU,1578187772,24,-28.95,153.24,95,5.82
Tecoanapa,40,MX,1578187971,83,16.99,-99.26,80.6,4.7
Linxia,100,CN,1578187971,81,35.6,103.21,26.13,5.08
Uige,100,AO,1578187972,98,-7.61,15.06,65.55,2.42
Necochea,49,AR,1578187972,76,-38.55,-58.74,69.57,10.36
Isangel,40,VU,1578187972,55,-19.55,169.27,87.8,17.22
Yellowknife,90,CA,1578187816,84,62.45,-114.38,1.4,10.29
Fortuna,1,US,1578187916,81,40.6,-124.16,51.01,5.82
Georgetown,20,GY,1578187973,74,6.8,-58.16,78.8,9.17
Komsomolskiy,100,RU,1578187973,89,67.55,63.78,22.12,26.71
Khatanga,0,RU,1578187712,86,71.98,102.47,-18.6,9.28
Effium,0,NG,1578187974,25,6.63,8.06,69.82,6.2
Langevag,100,NO,1578187974,60,62.44,6.19,39.2,12.75
Carutapera,100,BR,1578187974,75,-1.2,-46.02,81.25,6.22
Hilo,75,US,1578187974,69,19.71,-155.08,80.6,6.93
Naze,33,NG,1578187974,77,5.43,7.07,69.8,3.44
Qaanaaq,0,GL,1578187975,54,77.48,-69.36,-40.47,5.82
Ponta do Sol,100,BR,1578187975,90,-20.63,-46,67.75,1.99
Srednekolymsk,46,RU,1578187975,49,67.46,153.71,1.6,2.64
Bredasdorp,52,ZA,1578187692,68,-34.53,20.04,66.2,5.82
Sitka,0,US,1578187976,57,37.17,-99.65,44.01,5.01
Nanning,40,CN,1578187976,88,22.83,108.3,66.2,4.47
Thompson,90,CA,1578187816,84,55.74,-97.86,3.2,5.82
Bluff,95,AU,1578187976,35,-23.58,149.07,89.51,11.23
Margate,10,AU,1578187977,56,-43.03,147.26,73.99,11.41
Aksu,100,KZ,1578187977,85,52.04,76.93,24.8,11.18
Karratha,33,AU,1578187977,67,-20.74,116.85,84.49,20.22
Moose Factory,90,CA,1578187977,84,51.26,-80.61,5,3.36
Lorengau,92,PG,1578187977,75,-2.02,147.27,84.7,14.99
Ahipara,75,NZ,1578187978,68,-35.17,173.16,75,1.99
Kavaratti,26,IN,1578187978,70,10.57,72.64,80.31,11.07
East London,51,ZA,1578187700,94,-33.02,27.91,75.24,1.77
Ati,0,TD,1578187978,25,13.21,18.34,60.94,10.92
Souillac,0,FR,1578187978,93,45.6,-0.6,37.4,5.82
Baryshivka,100,UA,1578187979,93,50.36,31.33,35.01,4.47
Katsuura,75,JP,1578187708,49,33.93,134.5,48.2,13.87
Kodiak,1,US,1578187979,51,39.95,-94.76,37.99,8.05
Richards Bay,91,ZA,1578187979,78,-28.77,32.06,78.39,27
Kiunga,97,PG,1578187980,52,-6.12,141.3,91.51,3.02
Birjand,90,IR,1578187980,93,32.86,59.22,44.6,9.17
Porto Novo,75,BR,1578187980,88,-23.68,-45.44,69.8,2.24
Port Lincoln,99,AU,1578187981,68,-34.72,135.86,61.39,16.06
Shimoda,20,JP,1578187981,43,34.7,138.93,53.01,14.99
Nanortalik,97,GL,1578187981,79,60.14,-45.24,30.78,17.34
Zhigansk,100,RU,1578187982,94,66.77,123.37,-17.54,11.03
Dikson,100,RU,1578187982,90,73.51,80.55,4.46,24.76
Macae,90,BR,1578187853,100,-22.37,-41.79,75.2,3.36
Fort Smith,1,US,1578187982,41,35.39,-94.42,41,1.48
Zarubino,0,RU,1578187983,61,42.65,131.06,27.73,24.54
Filingue,35,NE,1578187983,28,14.35,3.32,58.08,12.26
General Roca,0,AR,1578187983,40,-39.03,-67.58,73.4,17.63
Karaton,20,ID,1578187983,94,-6.34,106.1,82,11.41
Dwarka,20,IN,1578187984,100,28.58,77.04,48.2,4
Mao,20,DO,1578187984,88,19.55,-71.08,75.2,5.82
Petropavlovsk-Kamchatskiy,40,RU,1578187984,78,53.05,158.65,32,17.9
Ramban,65,IN,1578187985,63,33.24,75.24,38.89,8.46
Vardo,90,US,1578187776,65,39.62,-77.74,46.99,18.34
Severo-Kurilsk,100,RU,1578187985,75,50.68,156.12,20.41,2.04
Brae,100,GB,1578187985,93,60.4,-1.35,46.4,28.86
Mahebourg,75,MU,1578187740,94,-20.41,57.7,75.2,3.42
Saint George,75,GR,1578187782,55,39.45,22.34,42.8,1.92
Hermanus,38,ZA,1578187986,86,-34.42,19.24,66,3
Clyde River,1,CA,1578187986,65,70.47,-68.59,-36.4,16.11
Faanui,100,PF,1578187986,78,-16.48,-151.75,81.45,11.39
Acari,100,BR,1578187987,76,-6.44,-36.64,73.54,13.02
Port-Cartier,90,CA,1578187987,85,50.03,-66.88,19.4,2.24
Jizan,40,SA,1578187987,78,16.89,42.56,80.6,5.82
Hasaki,20,JP,1578187987,75,35.73,140.83,45,5.82
Cabinda,100,AO,1578187988,86,-5.56,12.19,78.24,11.97
Bethel,1,US,1578187988,76,60.79,-161.76,-9.4,8.05
Butaritari,62,KI,1578187988,78,3.07,172.79,84.16,11.83
Ancud,32,CL,1578187989,62,-41.87,-73.83,55.4,9.17
Hithadhoo,30,MV,1578187834,65,-0.6,73.08,84.06,6.2
Port Moresby,75,PG,1578187989,62,-9.47,147.16,89.6,5.82
Birin,0,NP,1578187990,84,26.89,88.07,42.85,2.26
Veraval,90,FR,1578187990,93,49.65,0.71,44.6,4.7
Oum Hadjer,0,TD,1578187990,24,13.3,19.7,58.75,10.29
Jadu,0,LY,1578187991,49,31.95,12.03,43.39,6.13
Vagay,99,RU,1578187991,96,57.94,69.02,15.24,6.71
Saldanha,0,PT,1578187991,89,41.42,-6.55,34.77,1.97
Northam,0,AU,1578187992,23,-31.65,116.67,84,14.99
College,75,US,1578187992,74,64.86,-147.8,-20.99,2.84
Biograd na Moru,98,HR,1578187992,43,43.94,15.45,50,5.82
Longyearbyen,20,NO,1578187992,60,78.22,15.63,6.8,6.93
Kahului,75,US,1578187992,83,20.89,-156.47,75.2,14.99
Castro,66,CL,1578187993,62,-42.48,-73.76,55.4,9.17
Iqaluit,5,CA,1578187732,61,63.75,-68.52,-23.01,26.4
Maputo,75,MZ,1578187989,69,-25.97,32.57,80.6,5.82
Valdez,90,US,1578187984,60,61.13,-146.35,12.99,9.17
Touros,40,BR,1578187993,74,-5.2,-35.46,80.6,6.93
Buin,0,CL,1578187994,52,-33.73,-70.74,80.6,16.11
Jacareacanga,51,BR,1578187721,92,-6.22,-57.76,73.85,2.66
Dijkot,100,PK,1578187994,47,31.22,73,51.69,6.87
Wick,90,GB,1578187994,93,51.45,-2.43,45,6.93
Luena,99,AO,1578187994,98,-11.78,19.91,62.62,7.61
Port Alfred,100,ZA,1578187995,98,-33.59,26.89,71.01,5.99
Coquimbo,90,CL,1578187995,87,-29.95,-71.34,60.8,6.93
Nouadhibou,1,MR,1578187995,36,20.93,-17.03,62.6,14.99
Kholodnyy,37,RU,1578187996,100,62.72,147.95,-9.04,1.25
Tarko-Sale,99,RU,1578187996,91,64.92,77.78,23,7
Alenquer,90,BR,1578187996,100,-1.95,-54.74,75.2,4.7
Kudahuvadhoo,70,MV,1578187996,74,2.67,72.89,82.74,9.19
Coihaique,75,CL,1578187996,58,-45.58,-72.07,53.6,3.36
Biak,100,ID,1578187997,92,-0.91,122.88,76.53,3.36
Columbia,90,US,1578187997,43,34,-81.03,57.2,13.87
PEMEX,100,MX,1578187997,65,18.44,-96.35,64.89,2.01
Chuzhou,100,CN,1578187997,91,32.25,118.33,46.99,1.99
Sao Raimundo das Mangabeiras,100,BR,1578187997,94,-7.02,-45.48,71.02,2.64
Magadan,65,RU,1578187998,70,59.56,150.8,19.27,16.37
Emirdag,31,TR,1578187998,54,39.02,31.15,27.81,4.79
Chokurdakh,84,RU,1578187998,97,70.62,147.9,-14.17,3.94
Skibbereen,75,IE,1578187998,93,51.55,-9.27,46.4,16.11
Ubinskoye,100,RU,1578187998,95,55.31,79.68,26.6,14.36
Husavik,100,CA,1578187999,92,50.56,-96.99,25,5.01
Eureka,1,US,1578187999,81,40.8,-124.16,50,1.79
Luderitz,0,NA,1578187999,85,-26.65,15.16,61.65,13.44
Pevek,0,RU,1578187999,66,69.7,170.27,-6.29,3.38
Bathsheba,40,BB,1578188000,78,13.22,-59.52,77,10.29
Caramay,0,PH,1578188000,65,10.18,119.24,82.44,14.32
Tual,100,ID,1578188000,75,-5.67,132.75,83.62,12.59
Izacic,12,BA,1578188000,93,44.88,15.78,28,1.66
Maumere,100,ID,1578188000,89,-8.63,122.22,78.3,17.2
Aguimes,40,ES,1578188001,63,27.91,-15.45,64.4,12.75
Herveo,40,CO,1578188001,73,5.08,-75.18,73.4,3.36
Platteville,90,US,1578188001,86,42.73,-90.48,26.6,10.29
Uspenka,100,UA,1578188002,84,48.39,39.16,35.55,10.42
Usinsk,100,RU,1578188002,88,66,57.56,23.41,21.41
Astana,90,KZ,1578188002,79,51.13,71.43,23,17.9
Gravdal,100,NO,1578188002,86,59.79,5.78,39.99,11.41
Provideniya,90,RU,1578188002,87,64.42,-173.23,-11.83,9.78
Russell,1,US,1578188003,55,38.9,-98.86,43,17.22
Airai,96,TL,1578187747,65,-8.93,125.41,77.65,3.71
Samarai,100,PG,1578188003,81,-10.62,150.67,83.03,5.37
Sobolevo,16,RU,1578188004,94,54.43,31.9,28.24,8.28
Ravar,100,IR,1578188004,86,31.27,56.81,47.37,2.37
Lagoa,0,PT,1578187738,81,37.14,-8.45,51.01,6.93
Lompoc,1,US,1578188004,87,34.64,-120.46,60.01,9.17
Muravlenko,100,RU,1578188004,91,63.79,74.5,25.39,21.03
Whitehorse,75,CA,1578188005,84,60.72,-135.06,-2,5.82
Quatre Cocos,75,MU,1578188005,94,-20.21,57.76,75.2,13.2
Salekhard,32,RU,1578188005,81,66.54,66.62,21.18,18.66
Khorixas,100,NA,1578188005,79,-20.37,14.96,70.05,4.97
Kalabo,100,ZM,1578188006,87,-15,22.67,67.64,7.54
Alpena,90,US,1578188006,86,45.06,-83.43,30.2,5.82
Arandis,33,NA,1578188006,92,-22.42,14.98,62.01,1.01
Rio Grande,0,BR,1578188006,78,-32.03,-52.1,70,1.01
Lavrentiya,100,RU,1578188007,85,65.58,-170.99,-7.4,11.01
Durania,40,CO,1578188007,69,7.71,-72.66,80.6,2.24
Igarka,100,RU,1578188007,93,67.47,86.57,10.69,21.18
Palmer,90,AU,1578188007,67,-34.85,139.16,59,11.41
Laela,100,TZ,1578188008,92,-8.57,32.05,60.22,2.89
Mango,57,CF,1578188008,55,4.65,22.36,67.96,2.42
Buraydah,40,SA,1578188008,62,26.33,43.97,53.6,8.05
Oksfjord,75,NO,1578188008,92,70.24,22.35,26.6,16.11
Rocha,0,UY,1578188009,90,-34.48,-54.34,61.21,7.78
Yenagoa,47,NG,1578188009,65,4.92,6.26,73.27,3.98
Mayskiy,0,RU,1578188009,92,43.63,44.06,21.2,2.24
Harper,1,US,1578188009,39,30.3,-99.24,57.99,10.02
Sandur,97,IQ,1578188010,76,36.91,43.06,36.05,4.41
Tommot,100,RU,1578188010,95,58.97,126.27,12.9,4.85
Beni,75,CD,1578188010,96,0.49,29.47,64.38,2.26
Port-Gentil,100,GA,1578188010,72,-0.72,8.78,82.2,7.9
Kenai,1,US,1578188010,84,60.55,-151.26,1.99,9.91
Aklavik,75,CA,1578187735,67,68.22,-135.01,-22,2.24
Dromolaxia,75,CY,1578188011,87,34.88,33.59,54,5.82
Panji,100,CN,1578188011,92,32.78,116.82,43.05,13.71
Sabang,39,PH,1578188012,78,13.8,121.11,80.01,8.99
Bandraboua,75,YT,1578188012,88,-12.7,45.12,78.8,1.12
Hay River,90,CA,1578188013,84,60.82,-115.79,5,21.92
Fort Nelson,40,CA,1578188013,83,58.81,-122.69,-13,3.36
San Patricio,0,PY,1578188014,63,-26.98,-56.83,74.43,5.73
Diglur,0,IN,1578188014,72,18.55,77.6,65.41,8.55
Grants Pass,75,US,1578188014,81,42.44,-123.33,46.99,2.01
Xifeng,0,CN,1578188014,77,42.73,124.72,22.08,3.6
Pitkyaranta,100,RU,1578188014,83,61.57,31.48,31.39,17.94
Verkhnyaya Maksakovka,75,RU,1578188015,96,61.63,50.97,32,4.47
Dhidhdhoo,48,MV,1578188015,81,6.88,73.1,81.75,13.82
Mana,10,NG,1578188015,29,13.03,5.27,59.63,14.85
Sioux Lookout,90,CA,1578188016,79,50.1,-91.92,19.4,3.36
Caravelas,100,BR,1578188016,89,-17.73,-39.27,76.08,10.96
Tres Arroyos,70,AR,1578188016,89,-38.38,-60.28,63.37,9.33
Sarh,0,TD,1578188016,39,9.14,18.39,66.2,13.87
Chekhov,75,RU,1578188017,86,55.14,37.45,35.01,11.18
Kloulklubed,75,PW,1578188017,74,7.04,134.26,84.2,12.75
Aksha,100,RU,1578188017,79,50.28,113.29,11.7,1.16
San Andres,6,PH,1578188017,66,13.32,122.68,81.12,15.41
Calamar,72,CO,1578188018,76,1.96,-72.65,72.66,2.04
Rio Gallegos,100,AR,1578188018,50,-51.62,-69.22,55.4,4.7
Ketchikan,90,US,1578188018,93,55.34,-131.65,35.6,21.92
Yulara,90,AU,1578188018,82,-25.24,130.99,66.2,11.41
Ziniare,1,BF,1578188019,19,12.58,-1.3,68,5.82
Santa Isabel do Rio Negro,91,BR,1578188019,72,-0.41,-65.02,76.1,0.74
Mazamari,100,PE,1578188019,96,-11.33,-74.53,61.84,2.75
Waingapu,100,ID,1578188019,79,-9.65,120.26,83.12,23.82
Tilichiki,58,RU,1578188019,64,60.47,166.1,-3.77,5.7
Cherskiy,78,RU,1578188020,55,68.75,161.3,-2.72,7.74
North Myrtle Beach,40,US,1578188020,59,33.83,-78.68,62.6,11.41
Ivankiv,100,UA,1578188020,100,50.93,29.9,33.01,4.47
Evensk,19,RU,1578188020,47,61.92,159.24,7.09,4.29
Constitucion,20,MX,1578187733,29,23.99,-104.67,51.8,4.7
Santa Fe,0,AR,1578188021,44,-31.62,-60.7,81,4
Beaufort,75,MY,1578188021,66,5.36,115.76,84.2,5.82
Orlik,20,PL,1578188021,69,53.95,17.74,35.01,16.11
Baykalsk,40,RU,1578188021,72,51.52,104.15,18.23,3.87
Maniitsoq,100,GL,1578188022,86,65.42,-52.9,19.35,0.76
Yinchuan,100,CN,1578188022,76,38.48,106.21,29.35,1.25
Nuuk,100,GL,1578188022,79,64.17,-51.74,21.2,9.17
Baykit,100,RU,1578188022,89,61.68,96.39,11.34,8.37
Catalina,72,PE,1578188023,88,-13.57,-76.13,71.01,19.46
Pisco,72,PE,1578188023,88,-13.71,-76.2,71.01,19.46
Portland,90,US,1578187204,92,43.66,-70.25,35.6,8.05
Yamada,75,JP,1578188023,89,36.58,137.08,44.6,4.7
Kapiri Mposhi,100,ZM,1578188024,97,-13.97,28.68,63.46,3.51
Sao Joao Batista,19,BR,1578188024,80,-3.13,-58.38,75.65,0.29
desa,65,ID,1578188024,75,0.74,120.67,79.88,4.5
Snasa,100,NO,1578188024,96,64.25,12.38,20.84,6.33
Tomatlan,27,MX,1578188025,47,19.93,-105.25,60.73,4.76
Nanakuli,90,US,1578188025,94,21.39,-158.15,84.2,5.82
Mildura,40,AU,1578188025,45,-34.18,142.16,62.6,16.11
North Bend,75,US,1578187750,76,43.41,-124.22,48.2,6.93
Monrovia,20,LR,1578187739,94,6.33,-10.8,68,3.74
Arman,91,RU,1578188026,69,59.7,150.17,20.82,9.69
Huarmey,100,PE,1578188026,78,-10.07,-78.15,69.37,1.68
Tando Muhammad Khan,0,PK,1578188027,76,25.12,68.53,62.29,4.59
Ponta Delgada,20,PT,1578188027,88,37.73,-25.67,64.4,13.87
Newport,90,GB,1578188027,93,51.59,-3,45,6.93
Zyryanka,1,RU,1578188027,73,65.73,150.89,4.01,17.18
Maceio,100,BR,1578187795,88,-9.67,-35.74,75.2,4.7
Ambalavao,91,MG,1578188028,94,-21.83,46.94,63.09,2.57
Popondetta,100,PG,1578188028,83,-8.77,148.24,75.87,2.48
Haines Junction,61,CA,1578188028,97,60.75,-137.51,-15.48,3.51
Egvekinot,0,RU,1578188029,64,66.32,-179.17,-12.62,13.04
Talnakh,40,RU,1578188029,77,69.49,88.39,5,29.08
Booue,28,GA,1578188029,92,-0.09,11.94,72,1.54
El Alto,75,BO,1578188029,81,-16.5,-68.19,46.4,2.24
Chigasaki,20,JP,1578188030,52,35.33,139.41,51.8,11.41
Vanimo,100,PG,1578188030,78,-2.67,141.3,81.79,9.6
Gwadar,26,PK,1578188030,71,25.12,62.33,72.91,7.76
Bontang,100,ID,1578188030,84,0.12,117.47,78.93,14.9
Charlestown,90,US,1578188030,93,41.38,-71.64,46,8.05
Karwar,0,IN,1578188031,69,14.8,74.13,70.39,3.44
Chara,75,GR,1578188031,62,39.42,22.43,42.8,1.1
Abalak,0,NE,1578188031,34,15.46,6.28,52.99,13.38
Harstad,100,NO,1578188031,92,68.8,16.53,30.2,10.29
Perpignan,97,FR,1578188032,62,42.7,2.88,51.8,25.28
Mindelo,0,PT,1578188032,75,41.31,-8.72,46,3.36
Ridgetown,90,CA,1578188032,80,42.44,-81.88,33.01,11.41
Makkaveyevo,97,RU,1578188032,75,51.75,113.95,-13,1.61
Abomey-Calavi,100,BJ,1578188033,64,6.45,2.35,75.2,3.36
Tokur,7,RU,1578188033,88,53.13,132.9,-9.2,1.74
Santa Rosa,21,AR,1578187946,75,-36.62,-64.29,66.15,15.05
Auki,98,NG,1578188033,27,12.18,6.51,60.76,16.93
Norman Wells,90,CA,1578188033,68,65.28,-126.83,-18.4,6.93
Zeya,8,RU,1578188034,91,53.74,127.27,-12.64,2.44
Ranong,40,TH,1578188034,74,9.96,98.62,82.4,4.7
Haimen,100,CN,1578188034,61,31.87,121.18,60.01,10.16
Nisia Floresta,40,BR,1578188035,74,-6.09,-35.21,80.6,6.93
Kasempa,100,ZM,1578188035,97,-13.46,25.83,61.63,2.19
Opuwo,100,NA,1578188035,86,-18.06,13.84,63.37,5.39
La Rioja,100,AR,1578188035,38,-29.41,-66.86,74.1,3.83
Saint-Louis,52,SN,1578188036,28,16.03,-16.5,68,4.7
Manuk Mangkaw,99,PH,1578188036,70,4.8,119.85,82.45,7
Gongzhuling,0,CN,1578188036,87,43.5,124.81,17.64,5.37
Arraial do Cabo,100,BR,1578188037,89,-22.97,-42.02,75.34,7.05
Belomorsk,99,RU,1578188037,78,64.52,34.76,25.54,12.37
Katobu,100,ID,1578188037,69,-4.94,122.53,85.55,8.25
Norrtalje,0,SE,1578188037,58,59.76,18.7,34,13.87
Kidal,5,ML,1578187774,33,18.44,1.41,53.08,12.28
Damaturu,45,NG,1578188038,47,11.75,11.96,58.98,10.67
Byron Bay,0,AU,1578187835,51,-28.65,153.62,95,14.99
Fairbanks,75,US,1578187802,74,64.84,-147.72,-20.99,1.41
Ribas do Rio Pardo,29,BR,1578188038,82,-20.45,-53.76,72.14,1.03
Erzurum,90,TR,1578187855,85,39.91,41.27,10.4,1.12
Robertsport,0,LR,1578188039,58,6.75,-11.37,81.63,2.59
Pacific Grove,90,US,1578187980,76,36.62,-121.92,57.99,4.7
Takoradi,24,GH,1578188039,60,4.89,-1.75,76.35,5.32
Klaksvik,100,FO,1578188040,100,62.23,-6.59,48.2,3.36
San Quintin,0,PH,1578188040,53,17.54,120.52,82.9,8.9
Uyemskiy,90,RU,1578188040,92,64.47,40.85,26.6,2.24
Tuatapere,8,NZ,1578188040,68,-46.13,167.69,57.99,21
Grajewo,46,PL,1578188041,83,53.65,22.46,32.7,13.65
Elizabeth City,90,US,1578188041,93,36.3,-76.22,59,16.11
Tarboro,40,US,1578187891,87,35.9,-77.54,60.8,6.93
Mutoko,86,ZW,1578188041,96,-17.4,32.23,65.03,0.54
Port Shepstone,0,ZA,1578188042,71,-30.74,30.45,71.69,3
Tautira,40,PF,1578188042,70,-17.73,-149.15,86,6.93
Port Blair,20,IN,1578188043,83,11.67,92.75,78.8,3.36
Nueve de Julio,100,AR,1578188043,30,-31.67,-68.39,86.72,5.53
Rurrenabaque,100,BO,1578188043,98,-14.44,-67.53,73.36,1.28
San Carlos de Bariloche,0,AR,1578188043,51,-41.13,-71.31,59,21.92
Vila Velha,20,BR,1578188043,78,-3.71,-38.6,86,3.36
Port Macquarie,40,AU,1578187808,54,-31.43,152.91,93,16.11
Churapcha,100,RU,1578188044,97,62,132.43,-13.16,5.53
Jinchang,99,CN,1578188044,39,38.52,102.19,23.4,6.71
Kirakira,18,SB,1578188045,68,-10.46,161.92,84.38,10.83
Sao Filipe,0,CV,1578188045,78,14.9,-24.5,69.87,14.54
Kommunisticheskiy,99,RU,1578188045,93,61.68,64.48,24.21,8.43
Bako,0,BF,1578188045,25,12.29,-0.73,57.63,9.4
Kulhudhuffushi,63,MV,1578188046,81,6.62,73.07,81.95,12.08
Alofi,2,NU,1578188046,70,-19.06,-169.92,84.2,10.29
Luoyang,100,CN,1578188046,93,34.66,112.42,36.88,7.54
Jacarezinho,0,BR,1578188046,87,-23.16,-49.97,67.82,6.22
Sao Felix do Xingu,77,BR,1578188047,95,-6.64,-51.99,70.83,0.83
Siparia,20,TT,1578188047,83,10.14,-61.51,78.01,9.35
Nyurba,100,RU,1578188047,98,63.29,118.35,-14.55,1.25
Payo,99,ID,1578188047,96,-3.75,103.64,70.36,1.68
Abha,3,SA,1578188048,87,18.22,42.5,59,5.82
The Valley,20,AI,1578188048,69,18.22,-63.06,78.8,8.05
Vitim,90,RU,1578188048,95,59.44,112.57,10.18,4.94
Tura,100,RU,1578187792,95,64.27,100.22,3.97,7.07
Vancouver,90,CA,1578187821,87,49.26,-123.12,45,12.75
Inhambane,0,MZ,1578188049,83,-23.87,35.38,77.25,8.9
Sao Joao da Barra,82,BR,1578187778,91,-21.64,-41.05,76.28,7.02
Sabha,0,LY,1578188049,54,27.03,14.43,42.98,5.1
Teya,40,MX,1578188049,68,21.05,-89.07,72,4.7
Messina,75,IT,1578188049,82,38.19,15.55,57.99,8.05
Ayan,11,IR,1578188050,79,38.23,44.7,11.91,8.99
Barillas,5,ES,1578188050,80,41.97,-1.66,42.8,9.17
Kaitangata,54,NZ,1578188050,67,-46.28,169.85,53.98,32.64
Diamantino,100,BR,1578188050,94,-14.4,-56.44,71.76,5.53
The Pas,100,CA,1578188050,94,53.82,-101.24,18.68,12.1
Yaguaron,40,PY,1578188051,94,-25.6,-57.3,75.2,3.36
Acapulco,40,MX,1578188051,83,16.86,-99.88,80.6,4.7
